Date,Close,High,Low,Open,Volume,Return,MA_5,MA_20,Volatility_20,Tomorrow_Close,Target,Lag_1,Lag_2,Lag_3,EMA_20,Momentum,Price_Range
2014-02-05,172.37583923339844,173.2722594797313,170.19280453829464,172.97696330076357,11298451,-0.005234116187693,173.62451171875,180.4040626525879,0.0116129879778597,172.08056640625,0,0.0007917316565495,-0.0123321835051605,0.0074545210292011,175.2995642549455,-4.0813446044921875,3.0794549414366656
2014-02-06,172.08056640625,173.8206639665743,170.45645845415586,172.95588104141072,10826505,-0.0017129594754206,173.238525390625,180.03653259277343,0.0115789831935964,171.7852783203125,0,-0.005234116187693,0.0007917316565495,-0.0123321835051605,174.9929930312602,-1.929931640625,3.3642055124184367
2014-02-07,171.7852783203125,173.75739742966755,170.9732243059333,173.39882647892296,8459052,-0.0017159874127818,172.53404846191407,179.57566833496094,0.0112990907629195,173.3671875,1,-0.0017129594754206,-0.005234116187693,0.0007917316565495,174.6874963921223,-3.5223846435546875,2.784173123734263
2014-02-10,173.3671875,174.1370583459543,171.08922641263368,171.9540093705977,10345205,0.0092086422955164,172.57833862304688,178.9592498779297,0.0095670872578658,169.84478759765625,0,-0.0017159874127818,-0.0017129594754206,-0.005234116187693,174.5617526881107,0.2214508056640625,3.047831933320623
2014-02-11,169.84478759765625,174.01048719275704,169.31748402966662,173.58865560222625,12609169,-0.02031756962282,171.89073181152344,178.15511093139648,0.0102110033938248,172.51290893554688,1,0.0092086422955164,-0.0017159874127818,-0.0017129594754206,174.11251791759122,-3.4380340576171875,4.693003163090424
2014-02-12,172.51290893554688,173.35660011060963,170.29823720078633,170.42478665309875,9828890,0.0157091740973005,171.91814575195312,177.44272155761718,0.0110063526399706,170.29827880859375,0,-0.02031756962282,0.0092086422955164,-0.0017159874127818,173.9601742050156,0.1370697021484375,3.058362909823302
2014-02-13,170.29827880859375,172.72388096966236,169.80261258611074,172.72388096966236,8657303,-0.0128374748337269,171.5616882324219,176.6122169494629,0.0111217898198502,173.38829040527344,1,0.0157091740973005,-0.02031756962282,0.0092086422955164,173.61142226249922,-1.78228759765625,2.92126838355162
2014-02-14,173.38829040527344,173.79959033067283,170.4248386800086,171.2474385308074,9218744,0.0181447024497098,171.88229064941407,175.95097579956055,0.0122222478729608,171.33177185058594,0,-0.0128374748337269,0.0157091740973005,-0.02031756962282,173.59017160943012,1.6030120849609375,3.374751650664223
2014-02-17,171.33177185058594,173.37771121268753,170.22443585849177,172.46019942044094,9058505,-0.0118607695472435,171.47520751953124,175.34510345458983,0.0119799416547838,171.5110626220703,1,0.0181447024497098,-0.0128374748337269,0.0157091740973005,173.37508591811164,-2.0354156494140625,3.153275354195756
2014-02-18,171.5110626220703,172.5023950079235,170.23499391592526,170.23499391592526,5741275,0.0010464537286214,171.80846252441407,174.81885375976563,0.0119720737042161,171.32125854492188,0,-0.0118607695472435,0.0181447024497098,-0.0128374748337269,173.19755988991722,1.6662750244140625,2.267401091998238
2014-02-19,171.32125854492188,172.95589837079652,170.84668387549664,171.47944540812108,6130140,-0.0011066579277552,171.57013244628905,174.1839797973633,0.0115370482455714,169.886962890625,0,0.0010464537286214,-0.0118607695472435,0.0181447024497098,173.0188645237272,-1.191650390625,2.109214495299881
2014-02-20,169.886962890625,171.62707444029868,169.39129671487544,171.12086247527415,8041497,-0.0083719654319536,171.4878692626953,173.54752349853516,0.0115523366476423,171.1630401611328,1,-0.0011066579277552,0.0010464537286214,-0.0118607695472435,172.72058817771747,-0.41131591796875,2.2357777254232474
2014-02-21,171.1630401611328,172.1121893251924,169.9185948269875,170.23498257494902,6256274,0.0075113313511252,171.04281921386718,172.9553581237793,0.0117521746102341,171.34231567382812,1,-0.0083719654319536,-0.0011066579277552,0.0010464537286214,172.57225027137608,-2.225250244140625,2.1935944982049023
2014-02-24,171.34231567382812,171.8907107691438,169.85531721927268,170.43534968086666,6800627,0.0010473961699122,171.04492797851563,172.63053817749022,0.0102000106497765,170.96266174316406,0,0.0075113313511252,-0.0083719654319536,-0.0011066579277552,172.4551136430382,0.0105438232421875,2.0353935498711166
2014-02-25,170.96266174316406,172.11219501486966,170.32990030614823,171.75362409930295,7039336,-0.0022157628089186,170.93524780273438,172.26880569458007,0.0101602837159163,170.99432373046875,1,0.0010473961699122,0.0075113313511252,-0.0083719654319536,172.31297536685972,-0.54840087890625,1.7822947087214231
2014-02-26,170.99432373046875,172.2914982389502,170.47756590120264,171.05759847529797,13608048,0.0001851982589757,170.86986083984374,171.99566268920898,0.0100035330655951,168.7269287109375,0,-0.0022157628089186,0.0010473961699122,0.0075113313511252,172.18738949672723,-0.326934814453125,1.8139323377475591
2014-02-28,168.7269287109375,171.97511687952397,167.28211307704527,170.9943301382624,18949872,-0.0132600601591036,170.63785400390626,171.73148422241212,0.0099650543248592,169.45460510253906,1,0.0001851982589757,-0.0022157628089186,0.0010473961699122,171.85782180284252,-1.1600341796875,4.6930038024786995
